breaks,subregion,scale,value
5390,desert,Decadal,0.6058307488715053
5390,plateau,Decadal,0.06633888709741687
5390,MW,Decadal,0.263817844490144
5380,desert,Decadal,0.8060826824644929
5380,plateau,Decadal,0.12150605959939664
5380,MW,Decadal,0.2840362506535854
5370,desert,Decadal,0.8355327229770504
5370,plateau,Decadal,0.14545153010836476
5370,MW,Decadal,0.25131028377645137
5360,desert,Decadal,0.739173050750952
5360,plateau,Decadal,0.16709028347421384
5360,MW,Decadal,0.19864033514365165
5350,desert,Decadal,0.656842688504411
5350,plateau,Decadal,0.16999221552542743
5350,MW,Decadal,0.1671330562482698
5340,desert,Decadal,0.5745291021050258
5340,plateau,Decadal,0.13490965849707326
5340,MW,Decadal,0.1273936597533165
5330,desert,Decadal,0.4917438538641239
5330,plateau,Decadal,0.16584179671443877
5330,MW,Decadal,0.11949049582065108
5320,desert,Decadal,0.4757050287784059
5320,plateau,Decadal,0.15592905587131778
5320,MW,Decadal,0.11944677667432568
5310,desert,Decadal,0.42500997513719163
5310,plateau,Decadal,0.2084566026192336
5310,MW,Decadal,0.13703929307231633
5300,desert,Decadal,0.4240061298270925
5300,desert,Centennial,0.471216729998547
5300,plateau,Decadal,0.21414014926848246
5300,plateau,Centennial,0.10854827758439711
5300,MW,Decadal,0.147826361910397
5300,MW,Centennial,0.1449420071715002
5290,desert,Decadal,0.47301045252818863
5290,plateau,Decadal,0.13973616866818084
5290,MW,Decadal,0.1370460776048521
5280,desert,Decadal,0.490829947048943
5280,plateau,Decadal,0.0551742855831483
5280,MW,Decadal,0.141107633221349
5270,desert,Decadal,0.463948956290805
5270,plateau,Decadal,0.018586355777294727
5270,MW,Decadal,0.16090850014163216
5260,desert,Decadal,0.3514357729866191
5260,plateau,Decadal,-0.05444961223365352
5260,MW,Decadal,0.134850970125866
5250,desert,Decadal,0.27782728605996176
5250,plateau,Decadal,-0.09345149655605178
5250,MW,Decadal,0.11092930283833624
5240,desert,Decadal,0.34830270088614945
5240,plateau,Decadal,-0.03899086295974241
5240,MW,Decadal,0.14015182323290354
5230,desert,Decadal,0.3913060531222312
5230,plateau,Decadal,0.04779791548235046
5230,MW,Decadal,0.1320131071231634
5220,desert,Decadal,0.34118234678994774
5220,plateau,Decadal,0.12329854587027622
5220,MW,Decadal,0.0976009655365484
5210,desert,Decadal,0.31515298593653984
5210,plateau,Decadal,0.18011084367124397
5210,MW,Decadal,0.07598777827866332
5200,desert,Decadal,0.20423508393543344
5200,desert,Centennial,0.16973510774584977
5200,plateau,Decadal,0.11810644576364382
5200,plateau,Centennial,0.03723338738703674
5200,MW,Decadal,0.04305553447214727
5200,MW,Centennial,0.05529222527149713
5190,desert,Decadal,0.08810271780146373
5190,plateau,Decadal,0.0572080251545426
5190,MW,Decadal,0.018892209586174324
5180,desert,Decadal,3.3860470671776e-4
5180,plateau,Decadal,-0.004991257519360026
5180,MW,Decadal,-7.606676622584629e-4
5170,desert,Decadal,-0.02798994025449142
5170,plateau,Decadal,-0.08039450656370795
5170,MW,Decadal,-0.01651741570499743
5160,desert,Decadal,-0.0014318161896453852
5160,plateau,Decadal,-0.09678599790714504
5160,MW,Decadal,-0.017919966170643065
5150,desert,Decadal,-0.030739248972622146
5150,plateau,Decadal,0.02149902584041019
5150,MW,Decadal,0.0019553568755936723
5140,desert,Decadal,-0.10864973525066546
5140,plateau,Decadal,0.11737571976324634
5140,MW,Decadal,0.011055829999628841
5130,desert,Decadal,-0.09461581413267028
5130,plateau,Decadal,0.06584180967119657
5130,MW,Decadal,-0.004804896977295137
5120,desert,Decadal,-0.08750935354067124
5120,plateau,Decadal,0.04580185671787529
5120,MW,Decadal,-0.013115876675173777
5110,desert,Decadal,-0.06029753889135181
5110,plateau,Decadal,0.021439923210309075
5110,MW,Decadal,-0.010928238427820869
5100,desert,Decadal,-0.061589055122623915
5100,desert,Centennial,-0.0546816546846407
5100,plateau,Decadal,0.04252946622467224
5100,plateau,Centennial,0.08144175713555857
5100,MW,Decadal,1.6263015327755426e-4
5100,MW,Centennial,1.9176088272843117e-5
