country,studyarea,subregion,site,MNI,N0_4,N5_19,N20,JI,CBR,GR,dateBP,domDate,delta_dom,agDate,delta_ag
USA,SW,Plateau,MarshPass,21,NA,2.63,18.37,0.12523809523809523,0.027847568736577913,-0.00736964571019362,2183,-1900,1667,600,-833
USA,SW,Desert,MattyWa,15,NA,2,13,0.13333333333333333,0.029230232656622713,-0.005956135872618042,2393,-2000,1557,150,-593
USA,SW,Plateau,DogLeg,10.5,NA,4.85,5.65,0.4619047619047619,0.0808153045316491,0.03290866325255456,2240,-980,690,300,-590
USA,SW,Desert,CienegaHOHTucs,55,NA,13,42,0.23636363636363636,0.046180553637373126,0.009127829985210272,2075,-2000,1875,150,-275
USA,SW,Plateau,BMEarly,35.43,NA,10.43,25,0.29438329099633076,0.05534352055638975,0.01609757341771264,1025,-1900,2825,600,325
USA,SW,Plateau,PBED,12.25,NA,3.25,9,0.2653061224489796,0.05077882240705925,0.012704300811658277,1300,-1250,1900,300,350
USA,SW,Plateau,SJ700  SJ Pueb,44.629999999999995,NA,10.233,34.397,0.22928523414743449,0.04504684321746462,0.00821881477153838,1250,-980,1680,300,400
USA,SW,Plateau,BMLate,79,NA,23,56,0.2911392405063291,0.05483678309570639,0.015727942020859705,850,-1900,3000,600,500
USA,SW,Plateau,NSJ850 NSJPueb,87,NA,21.6,65.4,0.24827586206896554,0.048080171774227756,0.010626086453441118,1100,-400,1250,300,550
USA,SW,Plateau,SJ850  SJ Pueb,43.333,NA,10.085,33.248,0.23273255948122681,0.04559945367757608,0.008663326501291431,1100,-980,1830,300,550
USA,SW,Plateau,LaPlata,50,NA,13,37,0.26,0.04994009110979358,0.012064461770642791,850,-400,1500,500,600
USA,SW,Plateau,UpPuerco,32.17,NA,9.17,23,0.28504818153559214,0.05388365441469617,0.015028062914065062,1005,-980,1905,300,625
USA,SW,Plateau,NSJ950 NSJPueb,20.687,NA,3.683,17.004,0.17803451442935175,0.036714733869456825,0.0011461019210938853,1000,-400,1350,300,650
USA,SW,Plateau,SJ950  SJ Pueb,92,NA,38.9,53.1,0.42282608695652174,0.07497997591151408,0.029318349128266648,1000,-980,1930,300,650
USA,SW,Plateau,NSJ1050NSJPueb,32.353,NA,1.333,31.02,0.04120174326955769,0.01270169698805593,-0.02654281805981536,900,-400,1450,300,750
USA,SW,Plateau,SJ1050 SJ Pueb,141.323,NA,40.273,101.05,0.28497130686441696,0.05387161094251344,0.015019180162960367,900,-980,2030,300,750
USA,SW,Plateau,NSJ1150,66.343,NA,25.539,40.804,0.3849539514342131,0.06926827842937108,0.025669467143594256,800,-400,1550,300,850
USA,SW,Plateau,SJ1150 SJ Pueb,196.797,NA,102.471,94.326,0.5206939130169668,0.08949408211886788,0.0380230467693164,800,-980,2130,300,850
USA,SW,Plateau,NRG1150,18.677,NA,2.907,15.77,0.15564598168870805,0.03299558975058443,-0.002277418352548806,800,-1250,2400,300,850
USA,SW,Plateau,PecosFL,99.713,NA,19.168,80.545,0.19223170499333087,0.039046346596405476,0.003201442549133314,725,-1250,2475,300,925
USA,SW,Plateau,NSJ1250NSJPueb,85.02000000000001,NA,27.472,57.548,0.32312397083039285,0.05980714300080292,0.01928353891159488,700,-400,1650,300,950
USA,SW,Plateau,SJ1250 SJ Pueb,27.333,NA,12.613,14.72,0.46145684703471995,0.08074873493739818,0.032868430021057375,700,-980,2230,300,950
USA,SW,Plateau,NRG1250,23.307000000000002,NA,8.707,14.6,0.3735787531642854,0.06754096198882201,0.024537199545503215,700,-1250,2500,300,950
USA,SW,Plateau,PecosBW,43.749,NA,9.204,34.545,0.21038195158746487,0.04200005217896831,0.00571682771529311,612.5,-1250,2587.5,300,1037.5
USA,SW,Desert,PGEC,250,NA,32.54,217.46,0.13016,0.02868935302417604,-0.006504742627803532,737.5,-2000,3212.5,150,1062.5
USA,SW,Plateau,GranQuE,22,NA,3,19,0.13636363636363635,0.029745421678684898,-0.005438584262338134,574.5,-1250,2625.5,300,1075.5
USA,SW,Plateau,PecosG1,98,NA,14.82,83.18,0.15122448979591838,0.03225441111608145,-0.002983347529693335,550,-1250,2650,300,1100
USA,SW,Plateau,PecosG2,69.86,NA,8.86,61,0.12682507872888635,0.02811937583293769,-0.007088864556409495,500,-1250,2700,300,1150
USA,SW,Desert,S_P_Mound,102.5,NA,18.5,84,0.18048780487804877,0.037119048903764135,0.0015072264747506836,575,-2000,3300,150,1150
USA,SW,Plateau,GranQuM,49.33,NA,13,36.33,0.2635313196837624,0.05049848763884199,0.012491036044416141,475,-1250,2725,300,1175
USA,SW,Plateau,SanCris,183.167,NA,24.31,158.857,0.13272041361162218,0.029125874009713736,-0.006061561997099271,440,-1250,2752.5,300,1202.5
USA,SW,Plateau,PecosG3,122.71000000000001,NA,19.71,103,0.1606226061445685,0.03382708135461665,-0.0014952698868868214,437.5,-1250,2762.5,300,1212.5
USA,SW,Desert,PGLC,144,NA,14.31,129.69,0.099375,0.023360564719129673,-0.012238032820554627,587.5,-2000,3362.5,150,1212.5
USA,SW,Desert,S_P_Mesa,61,NA,13,48,0.21311475409836064,0.04244231041563104,0.006085592172707946,575,-2000,3400,150,1250
USA,SW,Plateau,HawiP-M,30.555999999999997,NA,8.556,22,0.2800104725749444,0.0530936728009377,0.014443294474559172,650,-2000,3562.5,300,1262.5
USA,SW,Plateau,GranQuL,60.33,NA,10,50.33,0.1657550140891762,0.03468165835826173,-7.01780599268384e-4,351,-1250,2861,300,1311
USA,SW,Plateau,Darkmol,24.01,NA,10.71,13.3,0.446064139941691,0.078456711467841,0.03147320331304924,1750,-400,NA,500,NA
USA,SW,Desert,LosHerm,79,NA,10,69,0.12658227848101267,0.028077814946918786,-0.0071317032719876786,700,NA,NA,NA,NA
USA,SW,Desert,Hodgepo,11,NA,0,11,0,0.00375,-0.05389,910,NA,NA,NA,NA
USA,SW,Desert,LasTor1,53.38,NA,6.38,47,0.11952041963282127,0.026865124840858807,-0.008396981642776656,925,NA,NA,NA,NA
USA,SW,Desert,LasTor2,31,NA,9,22,0.2903225806451613,0.054709119641000475,0.015634552345375426,875,NA,NA,NA,NA
USA,SW,Desert,GranRow,34.25,NA,6.25,28,0.18248175182481752,0.037447219296661255,0.0017988518152024652,750,NA,NA,NA,NA
USA,SW,Plateau,AlHerrE,46.4,NA,3.73,42.67,0.08038793103448276,0.01998548092525997,-0.0162517588005288,525,NA,NA,NA,NA
USA,SW,Plateau,AlHerr3,15.2,NA,5.2,10,0.34210526315789475,0.0627311070351587,0.02130708076119022,440,NA,NA,NA,NA
USA,SW,Plateau,NBankS,10.26,NA,2.6,7.66,0.25341130604288503,0.048896014710409205,0.011260399001076747,670,NA,NA,NA,NA
USA,SW,Plateau,ArroyHE,56,NA,17.67,38.33,0.3155357142857143,0.05863301228532686,0.01845724953895351,620,NA,NA,NA,NA
USA,SW,Plateau,ALP630,80.25,NA,24.249,56.001,0.3021682242990654,0.05655709395006575,0.016976014699989057,1320,NA,NA,NA,NA
USA,SW,Plateau,ALP790,138.25,NA,34.915,103.335,0.2525497287522604,0.04875926721237442,0.01115445163657789,1160,NA,NA,NA,NA
USA,SW,Plateau,KaneCnt,30.25,NA,6.14,24.11,0.20297520661157023,0.040798210004298674,0.004704597338781764,1720,NA,NA,NA,NA
USA,SW,Plateau,LostCity,32,NA,11,21,0.34375,0.06298362173348512,0.021479629744515776,875,NA,NA,NA,NA
USA,SW,Plateau,GSLWet5,12,NA,3.067,8.933,0.25558333333333333,0.0492405287333087,0.011526659399884849,900,NA,NA,NA,NA
USA,SW,Plateau,GSLWet6,14,NA,5.333,8.667,0.38092857142857145,0.06865767319694814,0.02527081043112924,750,NA,NA,NA,NA
USA,SW,Desert,LasCap1,11.5,NA,1,10.5,0.08695652173913043,0.021162032319417087,-0.014812170553642472,3025,NA,NA,NA,NA
USA,SW,Desert,Clearwater,15.778,NA,1.778,14,0.1126885536823425,0.025684456428237704,-0.009658767795593298,2540,NA,NA,NA,NA
USA,SW,Desert,LaPlay1,162.667,NA,17.667,145,0.10860838399921313,0.024975619808184128,-0.010431463641576148,2950,NA,NA,NA,NA
USA,SW,Desert,LaPlay2,102.222,NA,11.222,91,0.1097806734362466,0.025179571677838637,-0.01020792807211169,2075,NA,NA,NA,NA
USA,SW,Desert,LosOjitos,24.333,NA,11,13.333,0.45206098713681014,0.079350672815685655,0.032019714009302945,1450,NA,NA,NA,NA
USA,SW,Plateau,WDCave7,24.333,NA,11,13.333,0.45206098713681014,0.079350672815685655,0.032019714009302945,1920,NA,NA,NA,NA
USA,SW,Desert,SAMission,12.778,NA,1.778,11,0.13914540616684926,0.03021725628496446,-0.004968741357869656,2335,NA,NA,NA,NA
USA,SW,Plateau,HawiM,190.44400000000002,NA,71.444,119,0.3751443994034992,0.06777904164569154,0.02469409943086858,480,NA,NA,NA,NA
USA,SW,Plateau,HawiH,48.111000000000004,NA,20.111,28,0.4180125127309763,0.07425722140359045,0.028864315575659723,351,NA,NA,NA,NA
USA,SW,Plateau,Neskahi,16,NA,2,14,0.125,0.027806757141043963,-0.007411931244687725,815,NA,NA,NA,NA
USA,SW,Plateau,RB568,49.118,NA,12.118,37,0.24671199967425383,0.047831363868720805,0.010431565334921906,725,NA,NA,NA,NA
USA,SW,Plateau,OldWalpi,74.66,NA,12.66,62,0.1695687114920975,0.03531478718833485,-1.204440688650707e-4,400,NA,NA,NA,NA
USA,SW,Plateau,FallsCr,32.88,NA,13.88,19,0.4221411192214112,0.07487718361951053,0.029253905811955284,1750,NA,NA,NA,NA
USA,SW,Plateau,Three-C,12,NA,1,11,0.08333333333333333,0.020514305088058796,-0.015598922875138525,1050,NA,NA,NA,NA
USA,SW,Plateau,Lizard,10.66,NA,3.66,7,0.3433395872420263,0.06292062388364081,0.021436613864958258,780,NA,NA,NA,NA
USA,SW,Desert,MeddlerPt,41.5,NA,5.5,36,0.13253012048192772,0.029093463088039645,-0.006094345328335207,775,NA,NA,NA,NA
USA,SW,Desert,BooneMoore,37,NA,1,36,0.02702702702702703,0.009898872038493618,-0.03153346586179313,775,NA,NA,NA,NA
USA,SW,Desert,LaCiuGB,17,NA,4,13,0.23529411764705882,0.046009495041747894,0.008991401857129329,1175,NA,NA,NA,NA
USA,SW,Desert,LaCiuSC,15,NA,3,12,0.2,0.040314102460428825,0.00429257411133914,1037,NA,NA,NA,NA
USA,SW,Desert,LaCiuSa,40.5,NA,9.5,31,0.2345679012345679,0.04589329573074344,0.008898580824325354,900,NA,NA,NA,NA
USA,SW,Desert,ERG_Civ,13,NA,8,5,0.6153846153846154,0.10325386088751738,0.045662944741276155,575,NA,NA,NA,NA
USA,SW,Desert,LasColinas,16,NA,6,10,0.375,0.06775708813286208,0.024679642899110253,575,NA,NA,NA,NA
USA,SW,Desert,SGAPreCl,33,NA,23,10,0.696969696969697,0.1149231227514945,0.051765418291014685,975,NA,NA,NA,NA
USA,SW,Plateau,UMUILPE,28.5,NA,6.5,22,0.22807017543859648,0.04485185204812449,0.008061309426170372,875,NA,NA,NA,NA
USA,SW,Plateau,423-124,14.67,NA,4.67,10,0.31833674164962505,0.05906677053629572,0.01876345054015737,830,NA,NA,NA,NA
USA,SW,Plateau,Piper,18.88,NA,3.88,15,0.2055084745762712,0.04120979683573266,0.0050529395920258305,855,NA,NA,NA,NA
USA,SW,Plateau,Tuzigoot,306,NA,121.14,184.86,0.39588235294117646,0.0709225020100758,0.026740921904478167,600,NA,NA,NA,NA
USA,SW,Plateau,Win_Ridge,31,NA,15,16,0.4838709677419355,0.08407143740303681,0.034857327074091234,775,NA,NA,NA,NA
USA,SW,Plateau,Kechipawan,144.5,NA,40.5,104,0.28027681660899656,0.05313547783351247,0.014474348085560147,480,NA,NA,NA,NA
USA,SW,Desert,Grewe,97.167,NA,20.167,77,0.2075498883365752,0.041541067360794756,0.005332020362944889,1100,NA,NA,NA,NA
USA,SW,Desert,Palo_Verde,64.667,NA,16.667,48,0.2577357848670883,0.049581622321395374,0.011789357091316906,950,NA,NA,NA,NA
USA,SW,Desert,SCFAP,51,NA,10,41,0.19607843137254902,0.03967480341197957,0.0037445731812256328,625,NA,NA,NA,NA
USA,SW,Plateau,Elden,68,NA,15.4,52.6,0.22647058823529412,0.04459497897989201,0.00785328896390735,740,NA,NA,NA,NA
USA,SW,Plateau,Taos_Val,66,NA,17,49,0.25757575757575757,0.0495562739388445,0.011769865940023168,787.5,NA,NA,NA,NA
USA,SW,Plateau,Pot_Creek,39,NA,8,31,0.20512820512820512,0.04114804896292808,0.005000793438126157,675,NA,NA,NA,NA
USA,SW,Desert,Snaketown,68.91,NA,65.75,3.16,0.9541430851835728,0.150810620596903,0.06887495808771713,950,NA,NA,NA,NA
USA,SW,Plateau,Tijer_E,22,NA,1,21,0.045454545454545456,0.013520254581884052,-0.02522844384606756,620,NA,NA,NA,NA
USA,SW,Plateau,Tijer_L,12,NA,1,11,0.08333333333333333,0.020514305088058796,-0.015598922875138525,540,NA,NA,NA,NA
USA,SW,Desert,Rect&Gec,47,NA,9,38,0.19148936170212766,0.03892490926267092,0.003095977609317624,700,NA,NA,NA,NA
USA,SW,Plateau,Sundown,20,NA,10,10,0.5,0.08645199776578104,0.036258914718474235,800,NA,NA,NA,NA
USA,SW,Plateau,N:4:110,22,NA,1,21,0.045454545454545456,0.013520254581884052,-0.02522844384606756,950,NA,NA,NA,NA
USA,SW,Plateau,Paa-ko,86.105,NA,30.105,56,0.3496312641542303,0.0638854911440431,0.022093131520030583,575,NA,NA,NA,NA
USA,SW,Plateau,LBMIII,11,NA,4.5,6.5,0.4090909090909091,0.07291523439477561,0.028015520913652815,1250,NA,NA,NA,NA
USA,SW,Plateau,PIISCHU,14,NA,2.733,11.267,0.19521428571428573,0.03953374233221413,0.0036230498783062434,890,NA,NA,NA,NA
