Site,County,State,BP,Nuts,EAC,IP,MNI,cultigens_rel_MNI,IP_rel_cultigens,EAC_rel_MNI,studyarea
Walling,Madison,AL,1775,173,250,0,423,0.5910165484633569,0,0.5910165484633569,MW
Kochtitzky Ditch,Mississippi,AR,738,170,868,9353,10391,0.9836396881917043,0.9150768026611877,0.08353382735059185,MW
"Parkin, Locus 1",Cross,AR,650,1921,89,2506,4516,0.5746235606731621,0.9657032755298651,0.01970770593445527,MW
"Parkin, Locus 4",Cross,AR,500,10774,819,12770,24363,0.5577720313590281,0.939730664508058,0.03361654968599926,MW
11WO264,Winnebago,IL,1100,55,3,126,184,0.7010869565217391,0.9767441860465116,0.016304347826086956,MW
Archie,Morgan,IL,1900,948,758,0,1706,0.44431418522860494,0,0.44431418522860494,MW
Axedental,Pike,IL,1425,2150,959,0,3109,0.30845931167578,0,0.30845931167578,MW
Axedental,Pike,IL,3595,121995,36,0,122031,2.9500700641640237e-4,0,2.9500700641640237e-4,MW
Baker-Preston,Fulton,IL,900,28,324,188,540,0.9481481481481482,0.3671875,0.6,MW
Bivouac,Madison,IL,1022,28,112,33,173,0.838150289017341,0.22758620689655173,0.6473988439306358,MW
Bridges,Marion,IL,725,7645,1063,3018,11726,0.34803001876172607,0.7395246263170792,0.09065324918983456,MW
Bridges,Marion,IL,1037,26611,491,119,27221,0.022409169391278794,0.19508196721311474,0.018037544542816208,MW
Buffalo,Adams,IL,1500,253,18,2,273,0.07326007326007326,0.1,0.06593406593406594,MW
Bushmeyer,Pike,IL,2100,2172,7,0,2179,0.0032124827902707664,0,0.0032124827902707664,MW
Carlin,Calhoun,IL,1425,639,2586,0,3225,0.8018604651162791,0,0.8018604651162791,MW
Cunningham,Madison,IL,1625,2488,32752,0,35240,0.9293984108967083,0,0.9293984108967083,MW
Elledge,Pike,IL,1425,601,44,10,655,0.08244274809160305,0.18518518518518517,0.06717557251908397,MW
Ernat,LaSalle,IL,897,0,25,82,107,1,0.7663551401869159,0.2336448598130841,MW
Esterlein,Madison,IL,875,16,13,164,193,0.917098445595855,0.9265536723163842,0.06735751295336788,MW
Fiege,Monroe,IL,2300,174,1,0,175,0.005714285714285714,0,0.005714285714285714,MW
Floyd,Madison,IL,2850,21984,24,0,22008,0.0010905125408942203,0,0.0010905125408942203,MW
Goshen,Madison,IL,1022,3,136,60,199,0.9849246231155779,0.30612244897959184,0.6834170854271356,MW
Greenhouse,Monroe,IL,925,57,117,74,248,0.7701612903225806,0.387434554973822,0.4717741935483871,MW
Holding,Madison,IL,1950,2959,3055,2,6016,0.5081449468085106,6.542361792607131e-4,0.5078125,MW
Kaesberg-Schaudt,Randolph,IL,1100,10778,14156,2779,27713,0.6110850503373868,0.1640980218482433,0.5108072023959874,MW
Kincaid,Massac,IL,2050,7120,400,0,7520,0.05319148936170213,0,0.05319148936170213,MW
Kliver,Scott,IL,1175,1964,23,0,1987,0.011575239053850024,0,0.011575239053850024,MW
Lamb,Schuyler,IL,875,200,116,865,1181,0.8306519898391194,0.8817533129459735,0.09822184589331075,MW
Leingang,Monroe,IL,1625,2545,26,0,2571,0.010112796577207312,0,0.010112796577207312,MW
Marge,Monroe,IL,3325,916,9,0,925,0.00972972972972973,0,0.00972972972972973,MW
Marge,Monroe,IL,991,807,10982,1966,13755,0.941330425299891,0.1518381217176398,0.7984005816066885,MW
Massey,Morgan,IL,1900,2572,820,0,3392,0.2417452830188679,0,0.2417452830188679,MW
Morton,Fulton,IL,650,909,21,472,1402,0.3516405135520685,0.9574036511156186,0.014978601997146932,MW
Morton,Fulton,IL,650,548,40,1283,1871,0.7071084981293426,0.9697656840513983,0.021378941742383754,MW
Myer-Dickson,Fulton,IL,725,10441,398,15095,25934,0.5974010950875299,0.974310979151875,0.015346649186396237,MW
Myer-Dickson,Fulton,IL,1300,1283,54,0,1337,0.04038893044128646,0,0.04038893044128646,MW
Newbridge,Greene,IL,1425,5923,13608,0,19531,0.6967385182530337,0,0.6967385182530337,MW
Nochta,Madison,IL,1950,993,5,0,998,0.00501002004008016,0,0.00501002004008016,MW
Petitt,Alexander,IL,1050,2453,10922,486,13861,0.8230286415121564,0.04260168302945302,0.7879662362022942,MW
Radic,Madison,IL,687,48,225,777,1050,0.9542857142857143,0.7754491017964071,0.21428571428571427,MW
Radic,Madison,IL,1022,17,979,748,1744,0.9902522935779816,0.43312101910828027,0.5613532110091743,MW
Rench,Peoria,IL,941,4633,185,457,5275,0.12170616113744076,0.7118380062305296,0.035071090047393366,MW
Rench,Peoria,IL,1500,21670,165,0,21835,0.007556675062972292,0,0.007556675062972292,MW
Rhonda,Monroe,IL,1250,839,432,0,1271,0.33988985051140835,0,0.33988985051140835,MW
Ringerling,Madison,IL,2175,169,2,0,171,0.011695906432748537,0,0.011695906432748537,MW
Ringerling,Madison,IL,2450,288,0,0,288,0,NA,0,MW
Ringerling,Madison,IL,2850,97,3,0,100,0.03,0,0.03,MW
Shaw,Ogle,IL,1625,1845,111,0,1956,0.05674846625766871,0,0.05674846625766871,MW
Shaw,Ogle,IL,1930,20,2,0,22,0.09090909090909091,0,0.09090909090909091,MW
Sponemann,Madison,IL,700,5761,109,1986,7856,0.26667515274949083,0.9479713603818616,0.013874745417515275,MW
Sponemann,Madison,IL,825,656,4476,11970,17102,0.9616419132265233,0.7278365560014594,0.2617237749970764,MW
Sponemann,Madison,IL,1225,14306,73941,696,88943,0.8391554141416413,0.009325133646850758,0.8313301777542921,MW
Sprague,Monroe,IL,1250,9190,76384,1,85575,0.8926088226701724,1.3091575571119984e-5,0.892597137014315,MW
Tilly,Winnebago,IL,1100,77,47,28,152,0.4934210526315789,0.37333333333333335,0.3092105263157895,MW
Valhall,Winnebago,IL,800,733,0,98,831,0.11793020457280386,1,0,MW
Weitzer,Greene,IL,1425,3047,19,0,3066,0.006196999347684279,0,0.006196999347684279,MW
Westpark,Monroe,IL,1250,478,25651,0,26129,0.9817061502545065,0,0.9817061502545065,MW
Widman,Madison,IL,2007,1444,21,0,1465,0.014334470989761093,0,0.014334470989761093,MW
Willoughby,Madison,IL,875,0,0,26,26,1,1,0,MW
Willoughby,Madison,IL,1813,279,1,0,280,0.0035714285714285713,0,0.0035714285714285713,MW
AE Harmon,Madison,IL,1225,759,825,5,1589,0.5223410950283197,0.006024096385542169,0.5191944619257395,MW
Ambrose Flick,Pike,IL,2100,50,1,0,51,0.0196078431372549,0,0.0196078431372549,MW
Ambrose Flick,Pike,IL,2600,5515,796,0,6311,0.12612898114403423,0,0.12612898114403423,MW
BBB Motor,Madison,IL,825,230,1504,1916,3650,0.936986301369863,0.560233918128655,0.41205479452054794,MW
BBB Motor,Madison,IL,991,198,887,838,1923,0.8970358814352574,0.48579710144927535,0.46125845033801355,MW
Bluff Shadow,Monroe,IL,750,573,200,217,990,0.4212121212121212,0.5203836930455635,0.20202020202020202,MW
Bonnie Creek,Perry,IL,725,1186,12,6206,7404,0.8398163155051324,0.9980701190093277,0.0016207455429497568,MW
Bosque Medio,Madison,IL,1900,560,65,0,625,0.104,0,0.104,MW
C House,Pike,IL,2040,391,6,0,397,0.015113350125944584,0,0.015113350125944584,MW
Campbell Hollow,Scott,IL,1150,619,148,0,767,0.19295958279009126,0,0.19295958279009126,MW
Carbon Dioxide,Monroe,IL,925,533,243,293,1069,0.5014031805425632,0.5466417910447762,0.2273152478952292,MW
Carbon Dioxide,Monroe,IL,1625,4717,11,0,4728,0.002326565143824027,0,0.002326565143824027,MW
Carbon Monoxide,Monroe,IL,2225,1321,0,0,1321,0,NA,0,MW
Carrier Mills,Saline,IL,1300,44322,156,0,44478,0.003507351949278295,0,0.003507351949278295,MW
Carrier Mills,Saline,IL,1900,78708,56,0,78764,7.109847138286527e-4,0,7.109847138286527e-4,MW
Christianson,Rock Island,IL,3025,1564,3,0,1567,0.0019144862795149968,0,0.0019144862795149968,MW
Columbia Farms,Monroe,IL,1250,2235,57,0,2292,0.024869109947643978,0,0.024869109947643978,MW
CW Cooper,Fulton,IL,825,2603,531,3089,6223,0.5817130001606942,0.8533149171270719,0.08532861963683111,MW
Dash Reeves,Monroe,IL,1775,507,358,0,865,0.4138728323699422,0,0.4138728323699422,MW
Deer Track,Adams,IL,1275,3040,116,131,3287,0.07514450867052024,0.5303643724696356,0.035290538484940674,MW
Dogtooth Bend,Alexander,IL,600,114,10,9,133,0.14285714285714285,0.47368421052631576,0.07518796992481203,MW
Dohack,St. Clair,IL,1084,4255,35822,194,40271,0.8943408408035559,0.005386494891159485,0.8895234784336122,MW
Dohack,St. Clair,IL,1250,5396,852,0,6248,0.13636363636363635,0,0.13636363636363635,MW
Dohack,St. Clair,IL,1625,227,37,0,264,0.14015151515151514,0,0.14015151515151514,MW
Dugan Airfield,Monroe,IL,1250,8754,8011,134,16899,0.48198118231848036,0.01645181092694905,0.4740517190366294,MW
Dyroff,St. Clair,IL,2850,973,6,0,979,0.006128702757916241,0,0.006128702757916241,MW
Fall Creek,Adams,IL,1410,23,30,0,53,0.5660377358490566,0,0.5660377358490566,MW
Fingers,St. Clair,IL,825,74,148,346,568,0.8697183098591549,0.7004048582995951,0.2605633802816901,MW
Fish Lake,Monroe,IL,1250,704,566,0,1270,0.4456692913385827,0,0.4456692913385827,MW
Frog City,Alexander,IL,1922,72,14,0,86,0.16279069767441862,0,0.16279069767441862,MW
Go-Kart North,Monroe,IL,4100,7316,5,0,7321,6.829668078131403e-4,0,6.829668078131403e-4,MW
Grand Village,LaSalle,IL,335,2,0,729,731,0.9972640218878249,1,0,MW
Hawkins Hollow,Monroe,IL,662,531,11,162,704,0.24573863636363635,0.9364161849710982,0.015625,MW
Hill Creek,Pike,IL,662,14411,1571,6124,22106,0.34809553967248713,0.7958414554905783,0.07106667872975662,MW
Holdener,St. Clair,IL,1250,5087,319,0,5406,0.059008509064002956,0,0.059008509064002956,MW
Hoxie Farm,Cook,IL,500,272,15,430,717,0.6206415620641562,0.9662921348314607,0.02092050209205021,MW
Hoxie Farm,Cook,IL,575,816,39,1677,2532,0.6777251184834123,0.9772727272727273,0.015402843601895734,MW
Joan Carrie,Monroe,IL,1084,186,3430,1724,5340,0.9651685393258427,0.3344974776872332,0.6423220973782772,MW
Julien,St. Clair,IL,662,5289,338,609,6236,0.1518601667735728,0.6430834213305174,0.05420141116100064,MW
Julien,St. Clair,IL,750,5329,305,673,6307,0.1550657999048676,0.6881390593047034,0.048358966228000635,MW
Julien,St. Clair,IL,825,81,439,5641,6161,0.9868527836390196,0.9277960526315789,0.07125466645025158,MW
Julien,St. Clair,IL,1250,401,66,0,467,0.14132762312633834,0,0.14132762312633834,MW
Kane Village,Madison,IL,1050,751,1861,957,3569,0.7895769123003642,0.33960255500354863,0.5214345755113478,MW
Karol Rekas,Madison,IL,825,202,10,330,542,0.6273062730627307,0.9705882352941176,0.01845018450184502,MW
Keeshin Farm,Winnebago,IL,776,2556,7,2202,4765,0.46358866736621196,0.996831145314622,0.0014690451206715634,MW
Knoebel,St. Clair,IL,925,59,4,100,163,0.6380368098159509,0.9615384615384616,0.024539877300613498,MW
Lohmann,St. Clair,IL,875,681,3041,3469,7191,0.9052982895285774,0.5328725038402458,0.4228897232651926,MW
Marcus,St. Clair,IL,991,0,3,35,38,1,0.9210526315789473,0.07894736842105263,MW
McLean,St. Clair,IL,4650,17355,77,0,17432,0.0044171638366223035,0,0.0044171638366223035,MW
Meridian Hills,Madison,IL,1950,12132,5346,0,17478,0.305870236869207,0,0.305870236869207,MW
"Modoc, 7E",Randolph,IL,4650,821,13,0,834,0.015587529976019185,0,0.015587529976019185,MW
"Modoc, 9E",Randolph,IL,4100,3660,35,0,3695,0.009472259810554804,0,0.009472259810554804,MW
MoPac2,St. Clair,IL,2850,2699,15,0,2714,0.00552689756816507,0,0.00552689756816507,MW
Mound House,Greene,IL,1930,184,108,0,292,0.3698630136986301,0,0.3698630136986301,MW
Mund,St. Clair,IL,1475,4376,6225,3,10604,0.5873255375330064,4.816955684007707e-4,0.5870426254243681,MW
Mund,St. Clair,IL,2050,2757,102,0,2859,0.035676810073452254,0,0.035676810073452254,MW
Napoleon Hollow,Pike,IL,1890,2092,66,0,2158,0.030583873957367932,0,0.030583873957367932,MW
New Massilon,Wayne,IL,800,177,60,48,285,0.37894736842105264,0.4444444444444444,0.21052631578947367,MW
Oak Forest,Cook,IL,387,246,346,634,1226,0.799347471451876,0.6469387755102041,0.2822185970636215,MW
Old Edwardsville,Madison,IL,750,16203,776,728,17707,0.08493816004969786,0.48404255319148937,0.04382447619585474,MW
Olszewski,St. Clair,IL,825,43,21,152,216,0.8009259259259259,0.8786127167630058,0.09722222222222222,MW
Olszewski,St. Clair,IL,925,131,929,2039,3099,0.9577282994514359,0.6869946091644205,0.29977412068409165,MW
Range,St. Clair,IL,425,483,302,602,1387,0.6517664023071377,0.665929203539823,0.21773612112472962,MW
Range,St. Clair,IL,825,2365,937,15203,18505,0.8721967035936233,0.9419454770755886,0.05063496352337206,MW
Range,St. Clair,IL,925,1546,3461,1437,6444,0.7600869025450031,0.2933850551245406,0.537088764742396,MW
Range,St. Clair,IL,991,251,3460,9657,13368,0.9812238180730102,0.7362201722954944,0.2588270496708558,MW
Range,St. Clair,IL,1022,427,393,410,1230,0.6528455284552845,0.5105853051058531,0.3195121951219512,MW
Range,St. Clair,IL,1053,386,1832,1638,3856,0.899896265560166,0.47204610951008646,0.475103734439834,MW
Range,St. Clair,IL,1084,976,447,714,2137,0.5432849789424427,0.6149870801033591,0.2091717360786149,MW
Range,St. Clair,IL,1250,1277,1746,2,3025,0.5778512396694215,0.0011441647597254005,0.5771900826446281,MW
Range,St. Clair,IL,2850,77,2,0,79,0.02531645569620253,0,0.02531645569620253,MW
Robert Schneider,Madison,IL,825,11,23,2195,2229,0.9950650515926425,0.9896302975653742,0.01031852848811126,MW
Robert Schneider,Madison,IL,1053,5,2879,368,3252,0.9984624846248462,0.11333538651062519,0.8853013530135302,MW
Robinsons Lake,Madison,IL,1022,10,557,697,1264,0.9920886075949367,0.5558213716108453,0.44066455696202533,MW
Rogers Lake,Pike,IL,2100,1222,10,0,1232,0.008116883116883116,0,0.008116883116883116,MW
Russell Koster,Whiteside,IL,655,85,0,188,273,0.6886446886446886,1,0,MW
Sand Trees,Pike,IL,2100,385,6,0,391,0.015345268542199489,0,0.015345268542199489,MW
Skinned Rabbit,Madison,IL,1775,104,791,0,895,0.8837988826815643,0,0.8837988826815643,MW
Smiling Dan,Scott,IL,1150,134,360,1,495,0.7292929292929293,0.002770083102493075,0.7272727272727273,MW
Smiling Dan,Scott,IL,1850,29532,12890,0,42422,0.303851775022394,0,0.303851775022394,MW
Spoon Toe,Morgan,IL,1900,3315,347,0,3662,0.09475696340797378,0,0.09475696340797378,MW
St Thomas,Madison,IL,750,129,84,18,231,0.44155844155844154,0.17647058823529413,0.36363636363636365,MW
Steinberg,St. Clair,IL,1625,725,2269,0,2994,0.7578490313961256,0,0.7578490313961256,MW
Swimming Snake,Alexander,IL,1050,6333,73,47,6453,0.018596001859600187,0.39166666666666666,0.011312567797923447,MW
Tree Row,Fulton,IL,900,10,2,9,21,0.5238095238095238,0.8181818181818182,0.09523809523809523,MW
Truck 4,Monroe,IL,925,44,1,1,46,0.043478260869565216,0.5,0.021739130434782608,MW
Truck 7,Monroe,IL,1775,951,318,0,1269,0.25059101654846333,0,0.25059101654846333,MW
Turner,St. Clair,IL,750,21,28,22,71,0.704225352112676,0.44,0.39436619718309857,MW
Turner,St. Clair,IL,825,402,286,34931,35619,0.9887138886549314,0.9918789221114802,0.00802942249922794,MW
Turner,St. Clair,IL,925,44,466,434,944,0.9533898305084746,0.4822222222222222,0.4936440677966102,MW
Vaughn Branch,Madison,IL,825,1003,1278,23591,25872,0.9612322201607916,0.9486107201737103,0.04939703153988868,MW
Wet Willie,Adams,IL,1530,1491,897,0,2388,0.3756281407035176,0,0.3756281407035176,MW
Wilderman,St. Clair,IL,1250,1331,19,0,1350,0.014074074074074074,0,0.014074074074074074,MW
Woodland Ridge,Monroe,IL,1300,12965,35363,1,48329,0.7317345693062136,2.8277344191833503e-5,0.7317138777959403,MW
Alpha 1,St. Clair,IL,1625,284,8392,0,8676,0.9672660212079299,0,0.9672660212079299,MW
Alpha 3,St. Clair,IL,1250,380,9,0,389,0.02313624678663239,0,0.02313624678663239,MW
Brush College School,Pike,IL,4075,191,1,0,192,0.005208333333333333,0,0.005208333333333333,MW
"Cahokia, ICT-II",St. Clair,IL,750,590,615,447,1652,0.6428571428571429,0.4209039548022599,0.37227602905569007,MW
"Cahokia, ICT-II",St. Clair,IL,787,4,25,19,48,0.9166666666666666,0.4318181818181818,0.5208333333333334,MW
"Cahokia, ICT-II",St. Clair,IL,825,421,1539,1347,3307,0.8726942848503175,0.46673596673596673,0.46537647414575145,MW
"Cahokia, ICT-II",St. Clair,IL,875,27,45,69,141,0.8085106382978723,0.6052631578947368,0.3191489361702128,MW
"Cahokia, ICT-II",St. Clair,IL,925,97,745,455,1297,0.9252120277563608,0.37916666666666665,0.574402467232074,MW
Charles Keeshin 3,Winnebago,IL,1100,29,55,1058,1142,0.9746059544658494,0.9505840071877808,0.04816112084063047,MW
Christy Schwaegel,St. Clair,IL,825,90,226,271,587,0.8466780238500852,0.545271629778672,0.3850085178875639,MW
Columbia Quarry,St. Clair,IL,1475,594,147,0,741,0.19838056680161945,0,0.19838056680161945,MW
Cramer 2,St. Clair,IL,1250,2850,1,0,2851,3.5075412136092597e-4,0,3.5075412136092597e-4,MW
Curtiss Steinberg,St. Clair,IL,825,19,0,6,25,0.24,1,0,MW
Florence Street,St. Clair,IL,2400,387,13,0,400,0.0325,0,0.0325,MW
Formal Garden,Rock Island,IL,1559,16693,3297,0,19990,0.16493246623311655,0,0.16493246623311655,MW
George Reeves,St. Clair,IL,925,332,62,44,438,0.2420091324200913,0.41509433962264153,0.1415525114155251,MW
George Reeves,St. Clair,IL,991,51,409,83,543,0.9060773480662984,0.16869918699186992,0.7532228360957642,MW
George Reeves,St. Clair,IL,1022,68,654,426,1148,0.9407665505226481,0.39444444444444443,0.5696864111498258,MW
George Reeves,St. Clair,IL,1084,19,27,1,47,0.5957446808510638,0.03571428571428571,0.574468085106383,MW
George Reeves,St. Clair,IL,1475,139,116,0,255,0.4549019607843137,0,0.4549019607843137,MW
George Reeves,St. Clair,IL,1625,618,1239,0,1857,0.6672051696284329,0,0.6672051696284329,MW
M Adams 1,Winnebago,IL,1100,103,3,29,135,0.23703703703703705,0.90625,0.022222222222222223,MW
Petite Michele,St. Clair,IL,2050,158,188,0,346,0.5433526011560693,0,0.5433526011560693,MW
Dickson Camp & Pond,Fulton,IL,2150,1941,12,0,1953,0.006144393241167435,0,0.006144393241167435,MW
East St. Louis,St. Clair,IL,750,4,17,9,30,0.8666666666666667,0.34615384615384615,0.5666666666666667,MW
East St. Louis,St. Clair,IL,800,19,117,14069,14205,0.9986624428018304,0.9917524319751868,0.008236536430834213,MW
East St. Louis,St. Clair,IL,825,9,83,5711,5803,0.9984490780630708,0.9856748360372799,0.014302946751680165,MW
East St. Louis,St. Clair,IL,925,311,428,598,1337,0.7673896783844428,0.5828460038986355,0.3201196709050112,MW
John Faust 1,St. Clair,IL,750,16753,9,395,17157,0.023547240193507023,0.9777227722772277,5.245672320335723e-4,MW
John Faust 1,St. Clair,IL,825,6666,137,1878,8681,0.23211611565487847,0.9320099255583126,0.015781591982490496,MW
John Faust 1,St. Clair,IL,1225,4153,336,1139,5628,0.2620824449182658,0.7722033898305085,0.05970149253731343,MW
John Faust 1,St. Clair,IL,1325,84451,4405,19,88875,0.049777777777777775,0.004294755877034358,0.04956399437412096,MW
John Faust 2,St. Clair,IL,825,3809,35,7,3851,0.010906258114775382,0.16666666666666666,0.009088548428979486,MW
John Faust 2,St. Clair,IL,1225,6039,668,99,6806,0.1126946811636791,0.1290743155149935,0.0981486923302968,MW
John Faust 2,St. Clair,IL,1325,128600,7021,214,135835,0.05326315014539699,0.02957843814789219,0.05168770935325947,MW
Sandy Ridge Farm,St. Clair,IL,825,5,10,730,745,0.9932885906040269,0.9864864864864865,0.013422818791946308,MW
"Cahokia, west",St. Clair & Madison,IL,787,3,148,39,190,0.9842105263157894,0.20855614973262032,0.7789473684210526,MW
"Cahokia, west",St. Clair & Madison,IL,825,287,1923,453,2663,0.8922268118663161,0.19065656565656566,0.7221179121291776,MW
"Cahokia, west",St. Clair & Madison,IL,925,5,46,17,68,0.9264705882352942,0.2698412698412698,0.6764705882352942,MW
"Cahokia, west",St. Clair & Madison,IL,1037,4,70,16,90,0.9555555555555556,0.18604651162790697,0.7777777777777778,MW
"East St Louis, Main St Mnd, Mnd 26",St. Clair,IL,875,24,59,469,552,0.9565217391304348,0.8882575757575758,0.1068840579710145,MW
12H993,Hamilton,IN,610,64,3,292,359,0.8217270194986073,0.9898305084745763,0.008356545961002786,MW
12H993,Hamilton,IN,750,38,2,100,140,0.7285714285714285,0.9803921568627451,0.014285714285714285,MW
12MG195,Morgan,IN,675,44,1,5,50,0.12,0.8333333333333334,0.02,MW
Abner,Hamilton,IN,675,43,0,7,50,0.14,1,0,MW
Blair,Hamilton,IN,675,29,0,17,46,0.3695652173913043,1,0,MW
Bundy-Voyles,Morgan,IN,622,560,21408,250,22218,0.9747952110901071,0.011543078769969526,0.963543073183905,MW
Clampitt,Hamilton,IN,605,1168,4,441,1613,0.2758834469931804,0.9910112359550561,0.0024798512089274642,MW
Miles,Clark,IN,3610,111,0,0,111,0,NA,0,MW
Morell-Sheets,Montgomery,IN,1100,131,1359,350,1840,0.928804347826087,0.2047981275599766,0.7385869565217391,MW
