LabID,Age,Error,Material,Taxa,d13C,Method,LocAccuracy,Period,SiteID,SiteName,Country,Province,Continent,Source,Reference,subregion,agg_n,x,y,Long,Lat
A-10062,1430,80,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,N:,Dead Horse Cliffs,USA,Arizona,North America,UWyo2021,Huckleberry and Pearthree 2005,Plateau,49,-112.5538635500692,34.59987627541632,NA,NA
A-10268,1540,70,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,Z:12:5 (ASM),Ventana Cave,USA,Arizona,North America,UWyo2021,Berry and Berry 1986; Faunmap 1251,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-10295,2030,180,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,AA:,Wolcott Peak,USA,Arizona,North America,UWyo2021,Berry and Berry 1986; Haynes and Huckell 1986,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-1045,10760,100,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,EE:,Murray Springs,USA,Arizona,North America,UWyo2021,Haynes 2007b,Desert,8,-110.84669414740307,31.526102020915356,NA,NA
A-1072,1540,70,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,U:13:1 (ASM),Snaketown,USA,Arizona,North America,UWyo2021,NA,Desert,8,-112.49144893109376,33.34890328176403,NA,NA
A-1081,8975,300,BONE,apatite,NA,RADIOMETRIC,1,NA,Z:12:5 (ASM),Ventana Cave,USA,Arizona,North America,UWyo2021,NA,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-1197,1670,100,CHARCOAL,NA,-22.8,RADIOMETRIC,1,NA,U:5:58 (ASU),NA,USA,Arizona,North America,UWyo2021,Long and Muller 1981,Desert,8,-112.49144893109376,33.34890328176403,NA,NA
A-1198,1440,100,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,U:5:58 (ASU),NA,USA,Arizona,North America,UWyo2021,Long and Muller 1981,Desert,8,-112.49144893109376,33.34890328176403,NA,NA
A-1214,1600,70,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,BB:13:59,Roberts (Santa Cruz River floodplain),USA,Arizona,North America,UWyo2021,Haynes and Huckell 1986,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-1215,2030,180,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,BB:13:59,Roberts (Santa Cruz River floodplain),USA,Arizona,North America,UWyo2021,Haynes and Huckell 1986,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-1372,10250,200,SEDIMENT,humates,NA,RADIOMETRIC,1,NA,LA3324/6212,Blackwater Draw,USA,New Mexico,North America,UWyo2021,Haynes 1995,Plateau,49,-104.64697987547599,36.60621617427868,NA,NA
A-1446,970,70,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,AA:5:43 (ASM),NA,USA,Arizona,North America,UWyo2021,Schiffer and Staski 1982,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-1447,950,60,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,AA:5:43 (ASM),NA,USA,Arizona,North America,UWyo2021,Schiffer and Staski 1982,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-1627,950,50,CHARCOAL,NA,-22.04,RADIOMETRIC,1,NA,Z:11:5,NA,USA,Arizona,North America,UWyo2021,Schiffer and Staski 1982,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-1628,890,50,CHARCOAL,NA,-23.2,RADIOMETRIC,1,NA,Z:11:5,NA,USA,Arizona,North America,UWyo2021,Schiffer and Staski 1982,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-1629,920,60,CHARCOAL,NA,-22.52,RADIOMETRIC,1,NA,Z:14:30,NA,USA,Arizona,North America,UWyo2021,Schiffer and Staski 1982,Desert,8,-111.79020969076154,32.09745033283395,NA,NA
A-1653,12070,210,feces; féces,NA,NA,NA,1,NA,NA,Cowboy Cave,USA,NA,North America,CARD,Meltzer and Mead 1985; Mead and Agenbroad 1992; Agenbroad and Mead 1989; Jennings 1980; Faunmap 1069,Plateau,49,-110.90384285892064,38.324485726217944,NA,NA
A-1654,13040,440,feces; féces,NA,NA,NA,1,NA,NA,Cowboy Cave,USA,NA,North America,CARD,Meltzer and Mead 1985; Mead and Agenbroad 1992; Agenbroad and Mead 1989; Jennings 1980; Faunmap 1069,Plateau,49,-110.90384285892064,38.324485726217944,NA,NA
A-1660,11020,180,mammoth feces; féces de mammouth,NA,NA,NA,1,NA,NA,Cowboy Cave,USA,NA,North America,CARD,Meltzer and Mead 1985; Agenbroad and Mead 1989; Jennings 1980; Faunmap 1069,Plateau,49,-110.90384285892064,38.324485726217944,NA,NA
A-1694,8260,100,CHARCOAL,NA,NA,RADIOMETRIC,1,NA,K:5:19,Hastqin,USA,Arizona,North America,UWyo2021,Huckell Bruce B.  (1977)  Excavations at the Hastqin Site: A Multicomponent Preceramic Site  Near Ganado Arizona.  Report prepared by Arizona State Museum in  cooperation with  the Arizona Department of Transportation.  MS on  file at Arizona State Museum Library University of Arizona  Tucson.,Plateau,49,-109.48903635750371,35.39566460066254,NA,NA
