Site,County,State,BP,Nuts,EAC,IP,Source
Walling ,Madison,AL,1775,173,250,0,Scarry 1990:121
Kochtitzky Ditch,Mississippi,AR,738,170,868,9353,"Lopinot and Thomas 1999:349, 358"
"Parkin, Locus 1",Cross,AR,650,1921,89,2506,Scarry and Reitz 2005:110
"Parkin, Locus 4",Cross,AR,500,10774,819,12770,Scarry and Reitz 2005:111
11WO264 ,Winnebago,IL,1100,55,3,126,Simon 1999a:177
Archie ,Morgan,IL,1900,948,758,0,Asch DL and Asch NB 1985a:213-8
Axedental ,Pike,IL,1425,2150,959,0,"Schroeder 1994:115, 117, 190-3"
Axedental ,Pike,IL,3595,121995,36,0,"Schroeder 1994:111, 171-177"
Baker-Preston ,Fulton,IL,900,28,324,188,Kuehn and Blewitt 2013:57-62
Bivouac ,Madison,IL,1022,28,112,33,Galloy et al. 2000:236
Bridges ,Marion,IL,725,7645,1063,3018,Lopinot 1983:254
Bridges ,Marion,IL,1037,26611,491,119,Lopinot 1983:254
Buffalo ,Adams,IL,1500,253,18,2,Asch DL and Asch NB 1986:107-109
Bushmeyer ,Pike,IL,2100,2172,7,0,"Schroeder 1997:128, 145-160"
Carlin ,Calhoun,IL,1425,639,2586,0,Asch NB and Asch DL 1981:280-283
Cunningham ,Madison,IL,1625,2488,32752,0,"Parker 2001a:170, 172"
Elledge ,Pike,IL,1425,601,44,10,"Schroeder 1994:115, 120, 194-7"
Ernat ,LaSalle,IL,897,0,25,82,Adams 2016:485
Esterlein ,Madison,IL,875,16,13,164,Dunavan 1990c:191
Fiege ,Monroe,IL,2300,174,1,0,Johannessen 1985e:286
Floyd ,Madison,IL,2850,21984,24,0,Parker 2001b:120-121
Goshen ,Madison,IL,1022,3,136,60,Lopinot 1989:109-110
Greenhouse ,Monroe,IL,925,57,117,74,Simon 1992:31-32
Holding ,Madison,IL,1950,2959,3055,2,"Parker 1989:434-445, 451-2"
Kaesberg-Schaudt ,Randolph,IL,1100,10778,14156,2779,"Parker 2008:133, 134, 136"
Kincaid ,Massac,IL,2050,7120,400,0,"Parker and Butler 2017:124, 125, 128"
Kliver ,Scott,IL,1175,1964,23,0,"Schroeder 1994:115, 189"
Lamb ,Schuyler,IL,875,200,116,865,Bardolph and VanDerwarker 2015:219-221
Leingang ,Monroe,IL,1625,2545,26,0,Johannessen and Whalley 1988:269
Marge ,Monroe,IL,3325,916,9,0,Simon 1996b:87
Marge ,Monroe,IL,991,807,10982,1966,Simon 1996a:282
Massey ,Morgan,IL,1900,2572,820,0,Asch DL and Asch NB 1985a:213-8
Morton ,Fulton,IL,650,909,21,472,Nordine 2020:80-81
Morton ,Fulton,IL,650,548,40,1283,Nordine 2020:80-81
Myer-Dickson ,Fulton,IL,725,10441,398,15095,Biwer and VanDerwarker 2015:97-99
Myer-Dickson ,Fulton,IL,1300,1283,54,0,Biwer and VanDerwarker 2015:92-93
Newbridge ,Greene,IL,1425,5923,13608,0,Asch NB and Asch DL 1981:280-283
Nochta ,Madison,IL,1950,993,5,0,Simon 1990:262
Petitt ,Alexander,IL,1050,2453,10922,486,"Lopinot 1992:264, 281"
Radic ,Madison,IL,687,48,225,777,Parker 1987:232-241
Radic ,Madison,IL,1022,17,979,748,Parker 1987:224-6
Rench ,Peoria,IL,941,4633,185,457,King 1993a:122-123
Rench ,Peoria,IL,1500,21670,165,0,"King 1993b:326, 328"
Rhonda ,Monroe,IL,1250,839,432,0,Parker 2006a:453
Ringerling ,Madison,IL,2175,169,2,0,Simon 2000:371
Ringerling ,Madison,IL,2450,288,0,0,Simon 2000:364
Ringerling ,Madison,IL,2850,97,3,0,Simon 2000:356
Shaw ,Ogle,IL,1625,1845,111,0,Parker 2010:649
Shaw ,Ogle,IL,1930,20,2,0,Parker 2010:625
Sponemann ,Madison,IL,700,5761,109,1986,Parker 1992b:487-8
Sponemann ,Madison,IL,825,656,4476,11970,"Parker 1992a:308, 311, 314, 317, 320"
Sponemann ,Madison,IL,1225,14306,73941,696,Parker 1991:403
Sprague ,Monroe,IL,1250,9190,76384,1,Parker 2006a:450-451
Tilly ,Winnebago,IL,1100,77,47,28,Simon 1999a:185
Valhall ,Winnebago,IL,800,733,0,98,Simon 1999a:200
Weitzer ,Greene,IL,1425,3047,19,0,Asch NB and Asch DL 1981:280-283
Westpark ,Monroe,IL,1250,478,25651,0,Powell 83.3576388888889
Widman ,Madison,IL,2007,1444,21,0,Wolforth et al. 1990:53-4
Willoughby ,Madison,IL,875,0,0,26,Dunavan 1990a:77
Willoughby ,Madison,IL,1813,279,1,0,Dunavan 1990a:77
AE Harmon,Madison,IL,1225,759,825,5,"Holt et al. 83.75 70, 72"
Ambrose Flick,Pike,IL,2100,50,1,0,"Asch and Asch Sidell 1992:266, 268"
Ambrose Flick,Pike,IL,2300,10,1,0,Asch and Asch Sidell 1992:264
Ambrose Flick,Pike,IL,2600,5515,796,0,"Asch and Asch Sidell 1992:214, 220"
BBB Motor,Madison,IL,825,230,1504,1916,"Whalley 1984:324, 329-30"
BBB Motor,Madison,IL,991,198,887,838,Johannessen 1984e:172
Bluff Shadow,Monroe,IL,750,573,200,217,"Lopinot 1982a:55, 59"
Bonnie Creek,Perry,IL,725,1186,12,6206,Cremin 1986:227-235
Bosque Medio,Madison,IL,1900,560,65,0,Fortier and Ghosh 2000:36-37
C House,Pike,IL,2040,391,6,0,Schroeder 2005:99
Campbell Hollow,Scott,IL,1150,619,148,0,"Schroeder 1994:115, 117, 182-3"
Carbon Dioxide,Monroe,IL,925,533,243,293,Johannessen 1985c:103
Carbon Dioxide,Monroe,IL,1625,4717,11,0,Johannessen 1985c:99
Carbon Monoxide,Monroe,IL,2225,1321,0,0,Johannessen 1985e:289
Carbon Monoxide,Monroe,IL,2450,0,2,0,Johannessen 1985e:288
Carrier Mills,Saline,IL,1300,44322,156,0,"Lopinot 1982b:719, 789"
Carrier Mills,Saline,IL,1900,78708,56,0,"Lopinot 1982b:719, 789"
Christianson ,Rock Island,IL,3025,1564,3,0,Parker 2006b:136
Columbia Farms,Monroe,IL,1250,2235,57,0,Johannessen and Whalley 1988:283
CW Cooper,Fulton,IL,825,2603,531,3089,VanDerwarker et al. 2013:157
Dash Reeves,Monroe,IL,1775,507,358,0,Simon 2001:230
Deer Track,Adams,IL,1275,3040,116,131,"Asch and Asch 1985b:68-69, 88"
Determann Borrow,Madison,IL,787,10,2,0,Johannessen 1984g:27
Dogtooth Bend,Alexander,IL,600,114,10,9,Newsom 1996:148-150
Dohack ,St. Clair,IL,1084,4255,35822,194,Johannessen 1985d:260-3
Dohack ,St. Clair,IL,1250,5396,852,0,Johannessen 1985d:254
Dohack ,St. Clair,IL,1625,227,37,0,Johannessen 1985d:251
Dugan Airfield,Monroe,IL,1250,8754,8011,134,Parker 2006a:432-433
Dyroff ,St. Clair,IL,2850,973,6,0,Johannessen 1984a:300
Fall Creek,Adams,IL,1410,23,30,0,Asch DL and Asch NB 1986:107-109
Fingers ,St. Clair,IL,825,74,148,346,Parker 1995a:55-6
Fish Lake,Monroe,IL,1250,704,566,0,Johannessen 1984b:191
Frog City,Alexander,IL,1922,72,14,0,Asch and Asch 1978:128-130
Go-Kart North,Monroe,IL,4100,7316,5,0,Johannessen 1984c:173
Grand Village,LaSalle,IL,335,2,0,729,Walz 1999:223-225
Hawkins Hollow,Monroe,IL,662,531,11,162,"Simon 2015:186-187, 204-205"
Hill Creek,Pike,IL,662,14411,1571,6124,"Asch and Asch 1985a:140, 166-167"
Holdener ,St. Clair,IL,1250,5087,319,0,Simon 1994:89
Hoxie Farm,Cook,IL,500,272,15,430,Blewitt & King 2017:500-505
Hoxie Farm,Cook,IL,575,816,39,1677,Blewitt & King 2017:500-505
Joan Carrie,Monroe,IL,1084,186,3430,1724,Esarey & Johannessen 1994:81-2
Julien ,St. Clair,IL,662,5289,338,609,Johannessen 1984f:270-1
Julien ,St. Clair,IL,750,5329,305,673,Johannessen 1984f:268-9
Julien ,St. Clair,IL,825,81,439,5641,Johannessen 1984f:266-7
Julien ,St. Clair,IL,1250,401,66,0,Johannessen 1984f:246
Kane Village,Madison,IL,1050,751,1861,957,Simon 2016:79
Karol Rekas,Madison,IL,825,202,10,330,Parker 1990:493
Keeshin Farm,Winnebago,IL,776,2556,7,2202,Simon 1999b:161-169
Knoebel ,St. Clair,IL,925,59,4,100,Kruchten 2012:118
Lohmann ,St. Clair,IL,875,681,3041,3469,Johannessen 1992:141-142
Marcus ,St. Clair,IL,991,0,3,35,Johannessen 1987c:352
McLean ,St. Clair,IL,4650,17355,77,0,Johannessen 1986:90-93
Meridian Hills,Madison,IL,1950,12132,5346,0,"Parker 2005a:106, 118-119"
Meyer ,St. Clair,IL,2850,8,1,0,Fortier et al. 1998:219
"Modoc, 7E",Randolph,IL,4650,821,13,0,King 1992:83-84
"Modoc, 9E",Randolph,IL,4100,3660,35,0,King 1992:83-84
MoPac2 ,St. Clair,IL,2850,2699,15,0,"Johannessen 1983c:199, 201, 209"
Mound House,Greene,IL,1930,184,108,0,"Schroeder 1998:181-2, 186-187"
Mund ,St. Clair,IL,1475,4376,6225,3,Johannessen 1983d:304-5
Mund ,St. Clair,IL,2050,2757,102,0,Johannessen 1983b:96
Napoleon Hollow,Pike,IL,1890,2092,66,0,"Asch NB and Asch DL 1986:478, 482-483"
New Massilon,Wayne,IL,800,177,60,48,"Lopinot 1987:92, 96"
Oak Forest,Cook,IL,387,246,346,634,"Asch and Asch Sidell 1990:251, 253, 255"
Old Edwardsville,Madison,IL,750,16203,776,728,Simon 2003b:346-347
Olszewski ,St. Clair,IL,825,43,21,152,Dunavan 1990b:392-4
Olszewski ,St. Clair,IL,925,131,929,2039,Dunavan 1990b:392-4
Range ,St. Clair,IL,425,483,302,602,Parker 2003b:410-411
