Area,Site,Asterisk,Culture Area,Site Date,n(5+),5-19,19+,15P5,e0LT,e15LT (+15),Sources
Fremont,"Great Salt Lake Wetlands Burials, Period 1a",a,Fremont,550,7,2.33,4.67,0.333,,,[1]
Fremont,"Great Salt Lake Wetlands Burials, Period 2a",a,Fremont,750,4,1,3,0.25,,,[1]
Fremont,"Great Salt Lake Wetlands Burials, Period 3a",a,Fremont,850,7,1,6,0.143,,,[1]
Fremont,Warren Mounds,,Fremont,900,7,1,6,0.143,,,[2]; [1]
Fremont,Median Village,,Fremont,930,2,0,2,0,,,[3]; [4]
Fremont,"Great Salt Lake Wetlands Burials, Period 4a",a,Fremont,950,7,2,5,0.286,,,[1]
Fremont,"Great Salt Lake Wetlands Burials, Period 5a",a,Fremont,1050,12,3.07,8.93,0.256,,,[1]
Fremont,Main Ridge Community at Lost City,,Fremont,1075,21,11,21,0.524,,,[5]
Fremont,Caldwell Village,,Fremont,1125,8,0,8,0,,,[6]
Fremont,Coombs Village Site,,Fremont,1175,7,2,5,0.286,,,[7]
Fremont,"Great Salt Lake Wetlands Burials, Period 6a",a,Fremont,1200,12,5.33,8.67,0.444,,,[1]
Virgin Anasazi,Cave du Pont,,Pueblo,217,5,0,5,0,,,[8]; [9]
Virgin Anasazi,Kane Centera,a,Pueblo,230,30.25,6.14,24.11,0.203,,,[10]
Virgin Anasazi,Bonanza Dune,,Pueblo,1050,1.5,0.5,1,0.333,,,[11]
Virgin Anasazi,Mesa House,,Pueblo,1175,4,2,2,0.5,,,[12]
Kayenta,Marsh Passa,a,Pueblo,-233,21,2.63,18.37,0.125,,,[13]
Kayenta,Woodchuck Cave,,Pueblo,-50,13,2,11,0.154,,,[14]; [15]
Kayenta,Sand Dune Cave,,Kayenta,650,2,1,1,0.5,,,[16]; [17]
Kayenta,"Black Mesa, Early Puebloa",a,Pueblo,925,35.43,10.43,25,0.294,25.47,40.58,[18]
Kayenta,"Black Mesa, Late Puebloa",a,Pueblo,1100,79,23,56,0.291,24.92,40.77,[18]
Kayenta,Neskahi Village,,Pueblo,1135,16,2,14,0.125,,,[19]
Kayenta,Camp Cemetery,,Pueblo,1180,4,0,4,0,,,[13]
Kayenta,Rainbow Bridge,,Pueblo,1225,49.12,12.12,37,0.247,,,[20]
Kayenta,Pottery Pueblo,,Pueblo,1270,5.5,1,4.5,0.182,,,[21]
Kayenta,Old Walpi Pueblo,,Pueblo,1550,74.66,12.66,62,0.17,,,[22]; [23]
Middle Rio Grande Area,"Peña Blanca, Early Developmentala",,N. Santa Domingo Bas.,650,12.25,3.25,9,0.265,,,[24]
Middle Rio Grande Area,"Peña Blanca, Late Developmental/Coalitiona",a,N. Santa Domingo Bas.,1150,8.25,3.25,5,0.394,,,[24]
Middle Rio Grande Area,"Galisteo Basin, Late Developmental/Early Coalition",,Galisteo Basin,1200,29,3.4,25.6,0.117,,,[25]
Middle Rio Grande Area,"Pecos Pueblo, Forked Lightning Ruin",,Pueblo,1225,99.71,19.17,80.55,0.192,,,[26]; [27]
Middle Rio Grande Area,North Bank,,Pueblo,1280,10.26,2.6,7.66,0.253,,,[28]; [29]
Middle Rio Grande Area,"Tijeras Pueblo, Early",,Pueblo,1330,22,1,21,0.045,,,[30]
Middle Rio Grande Area,"Pecos Pueblo, Glaze/Black and White",,Pueblo,1335,43.75,9.2,34.55,0.21,,,[26]; [27]
Middle Rio Grande Area,Paa’ko,,Galisteo Basin,1375,86.11,30.11,56,0.35,,,[31]
Middle Rio Grande Area,"Gran Quivira, Early",,Pueblo,1375,22,3,19,0.136,,,[32]
Middle Rio Grande Area,"Pecos Pueblo, Glaze 1",,Pueblo,1400,98,14.82,83.18,0.151,,,[26]; [27]
Middle Rio Grande Area,"Tijeras Pueblo, Late",,Pueblo,1410,12,1,11,0.083,,,[30]
Middle Rio Grande Area,"Alfred Herrera, Early",,Pueblo,1425,46.4,3.73,42.67,0.08,,,[28]; [29]
Middle Rio Grande Area,"Pecos Pueblo, Glaze 2",,Pueblo,1450,69.86,8.86,61,0.127,,,[26]; [27]
Middle Rio Grande Area,"Gran Quivira, Middle",,Pueblo,1475,49.33,13,36.33,0.264,,,[32]
Middle Rio Grande Area,"Alfred Herrera, Middle",,Pueblo,1500,4,0,4,0,,,[28]; [29]
Middle Rio Grande Area,San Cristóbalh,h,Pueblo,1510,183.17,158.86,24.31,0.867,26.8,41.8,[33]
Middle Rio Grande Area,"Alfred Herrera, Late",,Pueblo,1510,15.2,5.2,10,0.342,,,[28]; [29]
Middle Rio Grande Area,"Pecos Pueblo, Glaze 3",,Pueblo,1510,122.71,19.71,103,0.161,,,[26]; [27]
Middle Rio Grande Area,"Gran Quivira, Late",,Pueblo,1599,60.33,10,50.33,0.166,,,[32]
Mogollon,SU Site,,Cibola,500,27,3,24,0.111,,,[34]
Mogollon,"NAN Ranch Ruin, Pithouse Phase",,Mogollon,600,2,0,2,0,,,[35]
Mogollon,"Wind Mountain, Early",,Wind River,740,5.5,0.5,5,0.091,,,[36]
Mogollon,"Point of Pines, Circle Prairie Phasea",a,Black River,750,9,1,8,0.111,,,[37]
Mogollon,"Galaz Ranch Ruin, Late Pithouse",,Mimbres,775,64.76,24.42,40.34,0.377,,,[38]
Mogollon,"Mattock’s Ruin, Late Pithouse",,Mogollon,775,5,0,5,0,,,[39]
Mogollon,"Point of Pines, Nantack Phasea",,Black River,850,9.57,2.57,7,0.269,,,[37]
Mogollon,"NAN Ranch Ruin, 3-Circle Phase",,Mogollon,875,2,0,2,0,,,[35]
Mogollon,"Wind Mountain, Middle",,Wind River,920,6,0,6,0,,,[36]
Mogollon,"NAN Ranch Ruin, Trans Phase",c,Mogollon,955,25,3,21,0.12,18.19,37.46,[35]
Mogollon,"Point of Pines, Reserve Phasea",a,Black River,1000,45.71,3.71,42,0.081,,,[37]
Mogollon,"Mattock’s Ruin, Classic",,Mogollon,1070,52,23.33,29.67,0.449,,,[39]
Mogollon,"Galaz Ranch Ruin, Classic Mimbres",,Mimbres,1075,540.75,161.69,379.06,0.299,,,[38]
Mogollon,"NAN Ranch Ruin, Classic Phase",c,Mogollon,1075,93,19,74,0.204,18.19,37.46,[35]
Mogollon,"Point of Pines, Tularosa Phasea",a,Black River,1150,182.71,43.71,139,0.239,21.75,,[37]
Mogollon,"Wind Mountain, Late",,Wind River,1150,2.67,0.67,2,0.251,,,[36]
